index,theta,A,B,C,X,Y,Id,Iq
397,4.64,5.00,-2.00,-1.00,5.31,-0.71,0.31,5.34
398,5.15,5.00,0.00,-3.00,5.31,2.12,0.32,5.71
399,5.68,2.00,2.00,-4.00,2.45,4.24,-0.41,4.88
400,6.18,1.00,4.00,-4.00,0.82,5.66,0.22,5.71
401,0.42,-1.00,5.00,-2.00,-2.04,4.95,0.17,5.35
402,0.96,-3.00,5.00,0.00,-4.49,3.54,0.31,5.71
403,1.50,-4.00,3.00,2.00,-5.31,0.71,0.31,5.34
404,2.02,-3.00,1.00,4.00,-4.49,-2.12,0.06,4.97
405,2.53,-1.00,-1.00,4.00,-2.04,-3.54,-0.34,4.07
406,3.06,0.00,-3.00,4.00,-0.41,-4.95,-0.02,4.97
407,3.58,2.00,-4.00,3.00,2.04,-4.95,0.27,5.35
408,4.12,4.00,-3.00,1.00,4.08,-2.83,0.05,4.97
409,4.68,5.00,-2.00,-1.00,5.31,-0.71,0.54,5.33
410,5.22,4.00,0.00,-3.00,4.49,2.12,0.31,4.96
411,5.73,2.00,2.00,-3.00,2.04,3.54,-0.12,4.08
412,6.28,1.00,3.00,-3.00,0.82,4.24,0.82,4.24
413,0.53,-1.00,4.00,-1.00,-2.04,3.54,0.02,4.08
414,1.05,-2.00,4.00,0.00,-3.27,2.83,0.83,4.24
415,1.61,-3.00,3.00,2.00,-4.49,0.71,0.87,4.46
416,2.12,-3.00,1.00,3.00,-4.08,-1.41,0.94,4.22
417,2.69,-1.00,-1.00,4.00,-2.04,-3.54,0.31,4.07
418,3.20,0.00,-2.00,4.00,-0.82,-4.24,1.08,4.18
419,3.74,2.00,-3.00,2.00,2.04,-3.54,0.29,4.07
420,4.28,3.00,-3.00,1.00,3.27,-2.83,1.21,4.15
421,4.80,4.00,-1.00,-1.00,4.08,0.00,0.35,4.07
422,5.34,4.00,0.00,-2.00,4.08,1.41,1.25,4.14
423,5.85,2.00,2.00,-3.00,2.04,3.54,0.36,4.07
424,0.10,0.00,4.00,-5.00,0.41,6.36,1.07,6.29
425,0.61,-2.00,5.00,-1.00,-3.27,4.24,-0.26,5.35
426,1.15,-3.00,4.00,0.00,-4.08,2.83,0.93,4.88
427,1.64,-4.00,2.00,2.00,-4.90,0.00,0.36,4.89
428,2.15,-3.00,0.00,4.00,-4.08,-2.83,-0.11,4.96
429,2.67,-1.00,-2.00,5.00,-2.04,-4.95,-0.44,5.34
430,3.16,0.00,-3.00,5.00,-0.82,-5.66,0.92,5.64
431,3.69,3.00,-4.00,3.00,2.86,-4.95,0.16,5.71
432,4.18,4.00,-4.00,0.00,4.90,-2.83,-0.02,5.66
433,4.69,6.00,-2.00,-2.00,6.53,0.00,-0.16,6.53
434,5.22,5.00,0.00,-3.00,5.31,2.12,0.70,5.67
435,5.69,3.00,3.00,-4.00,2.86,4.95,-0.37,5.70
436,6.18,1.00,5.00,-4.00,0.41,6.36,-0.26,6.37
437,0.41,-1.00,6.00,-2.00,-2.45,5.66,0.02,6.16
438,0.94,-3.00,5.00,0.00,-4.49,3.54,0.24,5.71
439,1.42,-4.00,3.00,2.00,-5.31,0.71,-0.08,5.35
440,1.95,-4.00,1.00,4.00,-5.31,-2.12,0.00,5.71
441,2.43,-2.00,-1.00,5.00,-3.27,-4.24,-0.30,5.35
442,2.95,0.00,-3.00,6.00,-1.22,-6.36,-0.04,6.48
443,3.47,2.00,-4.00,4.00,1.63,-5.66,0.26,5.88
444,3.98,4.00,-4.00,1.00,4.49,-3.54,-0.40,5.70
445,4.52,5.00,-3.00,-1.00,5.71,-1.41,0.31,5.88
446,5.05,5.00,-6.00,-3.00,7.76,-2.12,4.57,6.62
447,5.55,3.00,2.00,-3.00,2.86,3.54,-0.23,4.54
448,6.08,1.00,4.00,-4.00,0.82,5.66,-0.34,5.71
