index,theta,A,B,C,X,Y,Id,Iq
145,5.60,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
146,5.74,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
147,5.87,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
148,6.01,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
149,6.11,-15.00,-15.00,-16.00,0.41,0.71,0.28,0.77
150,6.26,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
151,0.14,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
152,0.27,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
153,0.43,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
154,0.56,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
155,0.71,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
156,0.87,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
157,1.01,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
158,1.15,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
159,1.30,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
160,1.46,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
161,1.60,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
162,1.75,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
163,1.91,-15.00,-15.00,-16.00,0.41,0.71,0.53,-0.62
164,2.06,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
165,2.18,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
166,2.33,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
167,2.45,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
168,2.62,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
169,2.73,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
170,2.88,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
171,2.99,-15.00,-15.00,-16.00,0.41,0.71,-0.30,-0.76
172,3.14,-15.00,-15.00,-17.00,0.82,1.41,-0.82,-1.41
173,3.29,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
174,3.43,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
175,3.56,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
176,3.71,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
177,3.86,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
178,4.01,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
179,4.13,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
180,4.28,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
181,4.45,-15.00,-15.00,-11.00,-1.63,-2.83,3.16,-0.84
182,4.60,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
183,4.76,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
184,4.88,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
185,5.03,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
186,5.14,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
187,5.26,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
188,5.41,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
189,5.55,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
190,5.69,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
191,5.82,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
192,5.94,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
