a,b,c,alpha,beta
-505,758,-256,-56,95
-482,768,-310,-56,95
-425,783,-355,-56,95
-382,784,-408,-56,95
-311,786,-478,-56,95
-216,780,-551,-56,95
-133,757,-626,-56,95
-63,749,-676,-56,95
-17,735,-696,-56,95
13,721,-734,-56,95
35,721,-745,-56,95
84,696,-757,-56,95
160,645,-782,-56,95
200,615,-793,-56,95
241,582,-815,-56,95
292,561,-828,-56,95
341,527,-840,-56,95
407,472,-860,-56,95
478,414,-860,-56,95
528,341,-853,-56,95
569,284,-825,-56,95
593,207,-784,-56,95
616,152,-749,-56,95
654,95,-713,-56,95
683,10,-664,-56,95
710,-38,-652,-56,95
739,-82,-628,-56,95
758,-146,-599,-56,95
780,-196,-560,-56,95
793,-235,-533,-56,95
804,-287,-505,-56,95
812,-338,-449,-56,95
811,-399,-389,-56,95
821,-463,-331,-56,95
820,-527,-265,-56,95
814,-594,-209,-56,95
790,-645,-123,-56,95
757,-692,-47,-56,95
732,-723,0,-56,95
731,-740,30,-56,95
718,-757,53,-56,95
704,-778,75,-56,95
662,-790,146,-56,95
617,-807,203,-56,95
582,-823,254,-56,95
552,-841,310,-56,95
505,-869,362,-56,95
468,-878,419,-56,95
380,-845,480,-56,95
277,-805,517,-56,95
210,-760,553,-56,95
151,-726,579,-56,95
86,-703,603,-56,95
20,-670,645,-56,95
-26,-652,694,-56,95
-81,-635,697,-56,95
-147,-593,724,-56,95
-198,-566,747,-56,95
-243,-542,763,-56,95
-286,-507,780,-56,95
-343,-458,789,-56,95
-403,-394,783,-56,95
-479,-317,789,-56,95
-558,-249,778,-56,95
-624,-165,770,-56,95
-677,-102,766,-56,95
-722,-33,730,-56,95
-745,22,720,-56,95
-768,38,708,-56,95
-781,68,687,-56,95
-796,115,662,-56,95
-815,169,631,-56,95
-828,213,589,-56,95
-840,276,548,-56,95
-862,327,511,-56,95
-877,381,481,-56,95
-881,432,447,-56,95
-879,474,378,-56,95
-847,502,316,-56,95
-793,545,229,-56,95
-734,576,138,-56,95
-678,606,74,-56,95
-652,634,-1,-56,95
-651,661,-16,-56,95
-637,689,-50,-56,95
-608,706,-117,-56,95
-569,732,-173,-56,95
-515,747,-225,-56,95
-483,751,-279,-56,95
-435,760,-332,-56,95
-374,768,-385,-56,95
-303,761,-464,-56,95
-219,765,-541,-56,95
-146,761,-603,-56,95
-80,735,-655,-56,95
-26,728,-636,-56,95
6,711,-715,-56,95
41,700,-728,-56,95
92,672,-744,-56,95
154,618,-763,-56,95
214,580,-773,-56,95
241,563,-789,-56,95
294,538,-807,-56,95
350,501,-821,-56,95
407,446,-844,-56,95
472,391,-833,-56,95
522,317,-803,-56,95
548,246,-782,-56,95
583,112,-728,-56,95
609,89,-669,-56,95
642,5,-636,-56,95
667,-18,-620,-56,95
691,-48,-617,-56,95
717,-104,-592,-56,95
745,-152,-562,-56,95
752,-218,-524,-56,95
765,-269,-470,-56,95
768,-318,-453,-56,95
785,-365,-400,-56,95
795,-433,-346,-56,95
790,-490,-290,-56,95
825,-549,-218,-56,95
766,-605,-135,-56,95
737,-656,-69,-56,95
725,-684,-18,-56,95
700,-713,17,-56,95
692,-723,50,-56,95
669,-735,87,-56,95
611,-754,142,-56,95
577,-770,209,-56,95
542,-792,256,-56,95
521,-812,293,-56,95
490,-834,353,-56,95
451,-851,391,-56,95
365,-807,448,-56,95
274,-760,494,-56,95
186,-719,521,-56,95
104,-660,557,-56,95
39,-638,597,-56,95
-6,-637,629,-56,95
-47,-612,657,-56,95
-117,-581,678,-56,95
-164,-555,700,-56,95
-210,-518,720,-56,95
-261,-493,732,-56,95
-305,-452,739,-56,95
-366,-388,744,-56,95
-441,-319,746,-56,95
-516,-241,733,-56,95
-579,-173,736,-56,95
-639,-102,719,-56,95
-681,-48,704,-56,95
-707,1,690,-56,95
-728,39,673,-56,95
-745,73,647,-56,95
-758,121,625,-56,95
-780,160,599,-56,95
-797,206,568,-56,95
-811,272,527,-56,95
-834,325,481,-56,95
-843,383,444,-56,95
-832,440,377,-56,95
-808,483,307,-56,95
-779,511,247,-56,95
-723,537,166,-56,95
-667,568,88,-56,95
-625,601,20,-56,95
-628,620,-11,-56,95
-619,650,-40,-56,95
-597,678,-86,-56,95
-582,703,-132,-56,95
-526,716,-199,-56,95
-476,728,-249,-56,95
-440,733,-301,-56,95
-397,747,-336,-56,95
-320,750,-421,-56,95
-258,761,-501,-56,95
-170,747,-568,-56,95
-145,723,-620,-56,95
-37,701,-665,-56,95
0,704,-686,-56,95
30,691,-706,-56,95
53,680,-731,-56,95
122,636,-741,-56,95
185,592,-751,-56,95
225,560,-778,-56,95
267,552,-795,-56,95
320,531,-814,-56,95
377,480,-844,-56,95
449,398,-820,-56,95
497,306,-789,-56,95
540,244,-760,-56,95
569,181,-716,-56,95
589,107,-703,-56,95
632,41,-652,-56,95
669,-20,-619,-56,95
690,-63,-603,-56,95
718,-114,-580,-56,95
744,-160,-559,-56,95
759,-207,-534,-56,95
775,-252,-490,-56,95
768,-315,-441,-56,95
773,-378,-374,-56,95
780,-446,-306,-56,95
777,-524,-232,-56,95
782,-578,-182,-56,95
774,-631,-135,-56,95
735,-666,-47,-56,95
777,-693,9,-56,95
687,-713,37,-56,95
670,-729,81,-56,95
637,-753,118,-56,95
617,-768,157,-56,95
570,-780,228,-56,95
522,-800,279,-56,95
496,-819,330,-56,95
458,-830,389,-56,95
409,-853,429,-56,95
322,-798,482,-56,95
